ID,City,Municipality,Neighborhood,Property_Type,Property_Subtype,Area,Rooms,Current_Floor,Total_Floors,Advertiser_Type,Photo_Count,Total_Price_EUR,Scrape_Date
5425646992873,Beograd,Novi Beograd,Stari Merkator,flat,Stan,28.0,1.5 Broj soba,VPR,5 Spratnost,Vlasnik,9,120000.0,2026-06-21 15:44:37
5425647059251,Beograd,Voždovac,Lekino brdo,flat,Stan,63.0,2.0 Broj soba,IV,4 Spratnost,Agencija,15,160000.0,2026-06-21 15:44:37
5425646669880,Beograd,Zemun,Cara Dušana,flat,Stan,82.4,3.5 Broj soba,I,4 Spratnost,Agencija,5,247200.0,2026-06-21 15:44:37
5425646814814,Beograd,Zvezdara,Bulbulder,flat,Stan,162.0,5.0 Broj soba,IV,4 Spratnost,Agencija,18,486000.0,2026-06-21 15:44:37
5425647040084,Beograd,Zvezdara,Mirijevo,flat,Stan,51.17,2.0 Broj soba,I,4 Spratnost,Agencija,3,113969.0,2026-06-21 15:44:37
5425647042411,Beograd,Surčin,Surčin (mesto),flat,Stan,54.27,2.5 Broj soba,I,2 Spratnost,Agencija,3,110000.0,2026-06-21 15:44:37
5425647042412,Beograd,Surčin,Surčin (mesto),flat,Stan,38.54,2.0 Broj soba,II,2 Spratnost,Agencija,3,100000.0,2026-06-21 15:44:37
5425647042413,Beograd,Surčin,Surčin (mesto),flat,Stan,29.21,1.5 Broj soba,PR,2 Spratnost,Agencija,3,75000.0,2026-06-21 15:44:37
5425647042414,Beograd,Surčin,Surčin (mesto),flat,Stan,42.12,2.0 Broj soba,PR,2 Spratnost,Agencija,3,90000.0,2026-06-21 15:44:37
5425647062972,Beograd,Stari grad,Obilićev venac,flat,Stan,66.0,3.0 Broj soba,II,3 Spratnost,Agencija,16,350000.0,2026-06-21 15:44:37
5425647066385,Beograd,Voždovac,Banjica,flat,Stan,37.89,2.0 Broj soba,I,3 Spratnost,Agencija,6,109881.0,2026-06-21 15:44:37
5425647066386,Beograd,Voždovac,Banjica,flat,Stan,61.41,3.0 Broj soba,I,3 Spratnost,Agencija,6,171948.0,2026-06-21 15:44:37
5425647066387,Beograd,Voždovac,Banjica,flat,Stan,77.45,4.0 Broj soba,I,3 Spratnost,Agencija,6,216860.0,2026-06-21 15:44:37
5425646667028,Beograd,Zemun,Zelena avenija,flat,Stan,52.0,2.0 Broj soba,VII,8 Spratnost,Agencija,11,219000.0,2026-06-21 15:44:37
5425647198478,Beograd,Surčin,Bečmen,flat,Stan,40.69,1.5 Broj soba,II,2 Spratnost,Agencija,14,115000.0,2026-06-21 15:44:37
5425647200848,Beograd,Zvezdara,Crveni krst,flat,Stan,57.0,2.5 Broj soba,IV,5 Spratnost,Agencija,15,244500.0,2026-06-21 15:44:37
5425647200847,Beograd,Zemun,Batajnicki drum,flat,Stan,50.0,2.0 Broj soba,II,3 Spratnost,Agencija,6,100000.0,2026-06-21 15:44:37
5425646257890,Beograd,Voždovac,FON - Bilećka,flat,Stan,76.0,2.0 Broj soba,III,3 Spratnost,Agencija,19,305000.0,2026-06-21 15:44:37
5425646694269,Beograd,Novi Beograd,Blok 58,flat,Stan,83.0,4.0 Broj soba,IV,10 Spratnost,Agencija,20,380000.0,2026-06-21 15:44:37
5425646814835,Beograd,Savski venac,Dedinje,flat,Stan,180.0,3.0 Broj soba,PR,2 Spratnost,Agencija,17,950000.0,2026-06-21 15:44:37
5425645290105,Beograd,Čukarica,Banovo brdo,flat,Stan,120.0,4.0 Broj soba,II,3 Spratnost,Agencija,14,370000.0,2026-06-21 15:44:37
5425646258723,Beograd,Stari grad,Knez Mihailova,flat,Stan,73.0,3.0 Broj soba,IV,4 Spratnost,Agencija,16,389000.0,2026-06-21 15:44:37
5425645169217,Beograd,Zvezdara,Mirijevo,flat,Stan,51.35,2.0 Broj soba,III,4 Spratnost,Agencija,4,116705.0,2026-06-21 15:44:37
5425646826373,Beograd,Vračar,Južni bulevar,flat,Stan,78.0,3.5 Broj soba,I,3 Spratnost,Agencija,20,264000.0,2026-06-21 15:44:37
5425646692266,Beograd,Voždovac,Autokomanda,flat,Stan,133.0,3.5 Broj soba,III,5 Spratnost,Agencija,13,499000.0,2026-06-21 15:44:37
5425646692268,Beograd,Voždovac,Autokomanda,flat,Stan,82.86,2.0 Broj soba,SUT,3 Spratnost,Agencija,9,185000.0,2026-06-21 15:44:37
5425646692269,Beograd,Zemun,Pregrevica,flat,Stan,55.0,3.0 Broj soba,PR,2 Spratnost,Agencija,13,180000.0,2026-06-21 15:44:37
5425646692270,Beograd,Zemun,Batajnica,flat,Stan,52.05,1.5 Broj soba,PR,4 Spratnost,Agencija,1,88400.0,2026-06-21 15:44:37
5425644964636,Beograd,Novi Beograd,Tošin bunar,flat,Stan,76.15,3.0 Broj soba,VIII,10 Spratnost,Agencija,15,283278.0,2026-06-21 15:44:37
5425644967933,Beograd,Novi Beograd,Tošin bunar,flat,Stan,84.11,4.0 Broj soba,XVII,21 Spratnost,Agencija,6,327188.0,2026-06-21 15:44:37
5425645124553,Beograd,Surčin,Surčin (mesto),flat,Stan,51.64,2.0 Broj soba,II,2 Spratnost,Agencija,13,125000.0,2026-06-21 15:44:37
5425646984051,Beograd,Surčin,Surčin (mesto),flat,Stan,34.0,2.0 Broj soba,PR,2 Spratnost,Agencija,3,60000.0,2026-06-21 15:44:37
5425646862696,Beograd,Zvezdara,Mirijevo,flat,Stan,51.0,2.0 Broj soba,SUT,12 Spratnost,Agencija,9,108000.0,2026-06-21 15:44:37
5425646367763,Beograd,Novi Beograd,Ledine,flat,Stan,89.07,3.0 Broj soba,IV,4 Spratnost,Agencija,7,231582.0,2026-06-21 15:44:37
5425646319413,Beograd,Stari grad,Kosančićev venac,flat,Stan,144.0,3.0 Broj soba,IV,5 Spratnost,Agencija,24,450000.0,2026-06-21 15:44:37
5425646850493,Beograd,Voždovac,Gospodara Vučića,flat,Stan,63.96,2.5 Broj soba,III,4 Spratnost,Agencija,4,252642.0,2026-06-21 15:44:37
5425646364676,Beograd,Stari grad,Dorćol,flat,Stan,113.17,4.0 Broj soba,III Spratnost,,Agencija,5,565850.0,2026-06-21 15:44:37
5425646255607,Beograd,Palilula,27. marta,flat,Stan,112.6,4.0 Broj soba,IV,6 Spratnost,Agencija,3,439140.0,2026-06-21 15:44:37
